unique_id,Finished,ac1,ac2,ac3,bedingung,codeword,gender,age,sys_trust1,sys_trust2,sys_trust3,sys_trust4,sys_trust5,sys_trust6,sys_trust7,sys_trust8,sys_trust9,sys_trust10,sys_trust11,sys_trust12,symb_trust1,symb_trust2,symb_trust3,symb_trust4,symb_trust5,mean_sys_trust,mean_symb_trust
57,1,1,5,1,1,AR27VE1,weiblich,22,5,5,4,6,5,6,5,7,5,6,5,6,5,4,3,4,4,5.416666666666667,4
58,1,1,5,1,4,RE06DT4,weiblich,19,6,6,4,7,7,7,7,7,7,5,2,5,3,2,1,1,1,5.833333333333333,1.6
59,1,1,5,1,3,NN09NE1,weiblich,32,3,3,5,4,1,3,4,5,4,4,4,4,4,4,4,4,4,3.6666666666666665,4
60,1,1,5,1,2,nd09ta8,männlich,25,5,4,3,5,4,6,7,7,5,5,4,5,2,3,3,4,3,5,3
61,1,1,5,1,4,TE02NE7,männlich,26,6,4,4,5,4,4,6,5,5,6,6,6,3,4,5,5,1,5.083333333333333,3.6
62,1,1,5,1,1,IN27HR0,weiblich,23,3,5,3,4,2,5,6,6,4,5,4,6,5,5,5,5,4,4.416666666666667,4.8
63,1,1,5,1,5,IC11OP9,weiblich,24,6,6,6,7,5,4,7,7,7,6,6,7,3,4,3,4,3,6.166666666666667,3.4
64,1,1,5,1,1,YL22EL2,weiblich,21,5,6,4,5,4,5,7,7,5,5,2,5,1,3,4,4,2,5,2.8
65,1,1,5,1,3,OP21ND0,weiblich,23,5,6,4,5,3,5,6,7,6,6,6,5,3,4,4,4,3,5.333333333333333,3.6
67,1,1,5,1,3,OS01EL3,weiblich,20,3,3,1,3,2,6,5,6,4,5,4,6,4,4,4,5,2,4,3.8
68,1,1,5,1,5,mi25el3,weiblich,20,5,6,6,7,3,3,7,5,5,4,4,6,4,4,4,4,3,5.083333333333333,3.8
69,1,1,5,1,4,UL03UM3,weiblich,20,5,3,3,5,5,4,5,6,5,5,4,5,2,4,3,3,2,4.583333333333333,2.8
71,1,1,5,1,5,AN28UF4,weiblich,19,2,3,3,5,2,2,4,5,5,3,4,4,4,3,3,3,5,3.5,3.6
73,1,1,5,1,5,AN10EN0,weiblich,23,4,6,4,4,2,6,5,7,6,6,3,6,1,3,1,3,4,4.916666666666667,2.4
74,1,1,5,1,3,AX06RG9,weiblich,34,6,6,3,6,5,5,6,7,7,6,5,7,5,5,5,5,3,5.75,4.6
75,1,1,5,1,3,LI07CH9,weiblich,24,5,6,3,6,5,6,6,7,6,7,4,6,2,3,3,3,2,5.583333333333333,2.6
76,1,1,5,1,3,EA14EN1,non-binär/divers,22,4,4,2,3,1,5,4,6,5,4,4,5,3,3,4,3,1,3.9166666666666665,2.8
77,1,1,5,1,3,OS18EN9,männlich,24,4,3,5,5,2,4,7,5,5,4,5,4,3,3,4,3,3,4.416666666666667,3.2
78,1,1,5,1,1,IS25EN3,weiblich,30,5,6,6,5,5,6,6,7,5,6,4,6,4,4,4,4,4,5.583333333333333,4
79,1,1,5,1,4,UK01IN8,weiblich,25,5,6,4,4,3,4,5,6,6,6,3,5,5,6,5,5,6,4.75,5.4
81,1,1,5,1,2,IN20UM5,männlich,27,5,4,3,3,2,4,5,7,4,5,5,5,1,3,2,4,1,4.333333333333333,2.2
82,1,1,5,1,5,NN22OD3,weiblich,19,5,7,4,6,3,5,5,6,7,5,5,6,1,3,2,5,2,5.333333333333333,2.6
83,1,1,5,1,2,ap20im9,keine Angabe,28,1,2,1,1,2,2,1,1,1,1,1,2,2,3,2,3,2,1.3333333333333333,2.4
84,1,1,5,1,4,AN04EN9,männlich,23,4,2,3,3,2,2,6,6,5,5,3,3,4,4,4,5,4,3.6666666666666665,4.2
85,1,1,5,1,2,ON22NE8,weiblich,25,4,3,1,6,5,5,3,6,5,4,2,5,1,1,2,1,1,4.083333333333333,1.2
86,1,1,5,1,5,AS02TE1,männlich,22,5,6,4,6,2,6,6,7,5,5,5,4,1,3,2,2,1,5.083333333333333,1.8
87,1,1,5,1,4,ID01CH3,männlich,29,2,4,2,3,4,1,7,6,3,1,4,1,1,2,1,2,1,3.1666666666666665,1.4
88,1,1,5,1,2,EN19EN4,männlich,19,5,5,5,4,4,4,4,7,6,6,5,5,3,3,2,3,2,5,2.6
89,1,1,5,1,2,IS06rf4,weiblich,19,2,6,5,3,1,5,4,7,7,5,5,6,3,5,4,2,3,4.666666666666667,3.4
90,1,1,5,1,3,IA26EN2,weiblich,20,5,4,5,5,2,5,5,5,5,5,5,6,5,5,4,4,4,4.75,4.4
91,1,1,5,1,3,UI21EN3,weiblich,30,3,4,2,3,2,3,5,4,3,4,3,4,4,4,4,4,2,3.3333333333333335,3.6
93,1,1,5,1,5,EN22EN9,weiblich,23,5,6,5,6,6,5,7,7,5,6,4,6,6,5,5,4,6,5.666666666666667,5.2
95,1,1,5,1,2,AR23AA3,weiblich,20,3,6,3,5,5,3,4,6,5,3,4,4,2,3,3,3,2,4.25,2.6
96,1,1,5,1,1,IL04RN3,männlich,20,4,5,2,4,4,5,6,6,4,6,3,6,4,4,4,4,3,4.583333333333333,3.8
97,1,1,5,1,2,im25rn3,männlich,30,3,3,3,3,2,4,4,4,3,3,3,3,2,2,5,2,1,3.1666666666666665,2.4
98,1,1,5,1,4,OU02UM2,männlich,31,5,3,4,4,2,1,3,6,5,5,5,5,5,5,2,4,3,4,3.8
99,1,1,5,1,5,NT03KE4,weiblich,18,3,6,5,3,1,7,7,7,3,3,5,5,4,4,1,4,1,4.583333333333333,2.8
100,1,1,5,1,1,NN28EN4,weiblich,59,2,5,3,3,2,1,6,7,2,4,2,4,1,1,6,1,1,3.4166666666666665,2
102,1,1,5,1,5,AJ04EN4,weiblich,19,2,2,7,3,1,3,3,3,4,2,1,4,5,4,4,5,3,2.9166666666666665,4.2
103,1,1,5,1,3,IB02RF1,weiblich,22,2,4,2,3,2,1,3,5,4,3,2,3,2,3,2,3,1,2.8333333333333335,2.2
105,1,1,5,1,4,AN18RL1,non-binär/divers,22,3,5,3,3,3,5,4,5,3,3,3,5,2,3,2,3,2,3.75,2.4
106,1,1,5,1,4,UC23EN3,weiblich,20,4,6,6,5,3,5,5,5,5,5,4,5,2,3,3,3,2,4.833333333333333,2.6
107,1,1,5,1,1,EN18ND9,weiblich,24,7,4,4,5,2,5,4,5,6,7,3,2,4,4,2,5,4,4.5,3.8
108,1,1,5,1,5,OL01CH3,männlich,30,2,3,3,3,1,1,4,5,2,2,2,4,1,3,2,1,2,2.6666666666666665,1.8
109,1,1,5,1,4,NT22RG3,männlich,20,4,5,3,5,6,6,5,7,4,5,2,6,1,4,5,4,1,4.833333333333333,3
110,1,1,5,1,4,AG22EN8,weiblich,25,2,4,4,4,6,3,6,5,3,4,3,4,4,3,4,3,3,4,3.4
111,1,1,5,1,1,AS10US2,männlich,21,6,3,2,1,2,5,6,5,6,5,7,5,4,3,3,4,4,4.416666666666667,3.6
112,1,1,5,1,4,EN06NN0,männlich,23,5,6,3,6,1,6,6,7,6,5,5,3,1,1,1,2,1,4.916666666666667,1.2
113,1,1,5,1,2,AC22EN3,weiblich,20,4,6,5,3,3,6,5,6,6,4,4,5,3,5,4,4,4,4.75,4
114,1,1,5,1,5,HA14ND2,weiblich,21,5,6,3,6,4,6,6,6,6,5,5,5,6,5,5,6,4,5.25,5.2
115,1,1,5,1,3,EV20RN4,männlich,28,3,6,6,3,1,7,4,7,4,6,3,6,5,4,4,4,5,4.666666666666667,4.4
116,1,1,5,1,5,OE15RG9,weiblich,24,4,4,3,5,4,2,5,3,4,5,5,5,1,3,2,2,1,4.083333333333333,1.8
118,1,1,5,1,1,VA25AL4,weiblich,18,2,2,1,1,5,1,3,4,2,4,1,5,2,3,3,3,1,2.5833333333333335,2.4
119,1,1,5,1,4,il03en5,weiblich,28,6,5,4,5,3,5,6,7,6,5,6,6,4,4,4,5,5,5.333333333333333,4.4
120,1,1,5,1,1,UN20RG7,weiblich,36,2,2,4,4,2,1,5,1,3,2,2,4,2,3,5,1,2,2.6666666666666665,2.6
122,1,1,5,1,4,US04ND6,weiblich,26,3,4,5,4,5,4,6,6,5,5,3,5,2,3,3,3,2,4.583333333333333,2.6
123,1,1,5,1,2,EV30ER8,weiblich,25,3,3,4,3,3,4,3,7,3,5,2,4,5,4,6,3,5,3.6666666666666665,4.6
124,1,1,5,1,4,NN06RG5,weiblich,28,2,6,2,3,3,3,6,6,4,3,3,3,1,4,5,4,2,3.6666666666666665,3.2
125,1,1,5,1,1,OC23EL7,männlich,35,4,6,5,7,2,4,7,5,5,4,5,4,6,4,5,5,5,4.833333333333333,5
126,1,1,5,1,5,ik09en2,weiblich,21,3,2,2,2,3,3,5,7,5,4,4,4,2,3,3,2,2,3.6666666666666665,2.4
127,1,1,5,1,2,LA26IW0,weiblich,23,4,6,6,4,4,3,5,4,5,5,5,5,3,3,3,3,2,4.666666666666667,2.8
128,1,1,5,1,3,IM04EL8,männlich,25,3,3,3,3,3,3,4,3,3,5,3,5,3,3,3,3,3,3.4166666666666665,3
129,1,1,5,1,4,OH27EN0,weiblich,22,3,4,4,3,3,3,4,5,5,5,3,5,2,4,3,2,3,3.9166666666666665,2.8
130,1,1,5,1,4,AR27EN4,weiblich,29,2,5,4,3,2,2,4,7,3,1,3,5,2,3,3,3,2,3.4166666666666665,2.6
131,1,1,5,1,2,AN27ND3,männlich,20,6,7,4,6,4,2,6,7,6,7,5,6,3,4,4,4,5,5.5,4
132,1,1,5,1,5,IS12ID1,weiblich,22,3,4,3,3,2,2,4,7,3,3,4,6,2,3,2,3,3,3.6666666666666665,2.6
133,1,1,5,1,1,EN13TE2,weiblich,21,6,5,5,5,3,3,7,7,6,5,5,5,3,5,4,4,3,5.166666666666667,3.8
135,1,1,5,1,1,RI07CH6,weiblich,27,3,5,2,4,3,2,4,5,4,5,3,4,3,4,3,3,2,3.6666666666666665,3
136,1,1,5,1,1,RA22OH9,weiblich,24,4,6,6,5,3,7,3,7,5,5,5,5,3,4,4,3,3,5.083333333333333,3.4
137,1,1,5,1,1,IA21EN1,weiblich,22,5,6,5,7,4,5,7,7,5,5,6,5,4,5,5,4,3,5.583333333333333,4.2
138,1,1,5,1,4,IA21EN3,männlich,20,4,4,4,6,4,2,5,2,5,5,3,5,2,2,1,3,3,4.083333333333333,2.2
139,1,1,5,1,4,XA27KA2,weiblich,31,3,5,3,4,2,6,5,6,4,5,4,5,2,4,3,3,3,4.333333333333333,3
141,1,1,5,1,2,H26AN3X,weiblich,20,6,4,3,5,6,1,3,7,4,3,6,4,1,4,6,4,3,4.333333333333333,3.6
142,1,1,5,1,1,ON12UM0,weiblich,19,3,4,3,3,6,3,5,5,3,3,3,3,1,1,2,1,1,3.6666666666666665,1.2
143,1,1,5,1,4,AR08SA8,männlich,25,3,4,2,2,2,5,4,5,4,3,4,4,2,3,3,2,2,3.5,2.4
144,1,1,5,1,2,IV09EN2,weiblich,21,3,5,6,3,1,4,4,6,5,5,5,6,5,4,4,4,4,4.416666666666667,4.2
145,1,1,5,1,3,AM29UM0,männlich,23,5,6,4,5,4,5,5,5,5,5,5,4,4,4,4,4,4,4.833333333333333,4
146,1,1,5,1,5,IN13ND2,weiblich,21,4,6,5,5,4,2,6,5,5,4,3,4,3,3,3,3,2,4.416666666666667,2.8
147,1,1,5,1,3,UL18DT4,männlich,19,4,6,3,2,1,7,4,6,4,4,5,4,1,4,4,3,1,4.166666666666667,2.6
148,1,1,5,1,2,A12NN93,weiblich,29,6,6,5,7,2,5,6,7,5,4,4,6,5,5,5,4,5,5.25,4.8
149,1,1,5,1,2,IO30ID4,keine Angabe,19,5,5,3,5,5,5,6,5,3,6,5,6,3,2,2,3,3,4.916666666666667,2.6
150,1,1,5,1,1,sm12ch9,weiblich,24,4,5,2,2,5,4,5,7,5,7,3,4,1,5,3,3,3,4.416666666666667,3
151,1,1,5,1,2,EL02DT2,weiblich,30,4,6,5,6,6,6,7,5,5,6,4,6,2,3,2,2,2,5.5,2.2
152,1,1,5,1,1,li27rl1,weiblich,22,6,4,7,7,3,7,7,7,7,5,6,7,4,6,6,6,6,6.083333333333333,5.6
153,1,1,5,1,5,LI19LT2,weiblich,21,3,7,4,7,7,5,7,6,5,5,6,4,2,4,4,4,3,5.5,3.4
154,1,1,5,1,5,AR16AU0,weiblich,23,4,4,1,7,7,6,7,6,4,6,4,4,2,4,4,5,4,5,3.8
155,1,1,5,1,5,OE25RG3,männlich,20,4,7,4,5,3,6,4,6,4,5,3,6,4,4,4,4,3,4.75,3.8
156,1,1,5,1,5,HA11EN9,weiblich,24,1,6,5,3,2,3,5,7,4,3,2,3,1,1,1,1,1,3.6666666666666665,1
157,1,1,5,1,3,MI10NE3,weiblich,20,3,7,6,4,4,7,7,7,6,5,4,5,1,3,4,2,1,5.416666666666667,2.2
158,1,1,5,1,1,li10en5,männlich,28,4,7,7,5,1,5,5,6,4,5,4,4,3,5,4,3,3,4.75,3.6
160,1,1,5,1,5,UD16IN2,weiblich,21,2,4,2,1,2,6,2,5,1,4,1,4,3,1,6,2,3,2.8333333333333335,3
161,1,1,5,1,2,al18ld4,weiblich,19,5,5,3,3,2,3,4,6,6,3,3,3,2,5,4,4,4,3.8333333333333335,3.8
162,1,1,5,1,5,AR01CK1,weiblich,22,2,3,2,3,3,2,6,4,4,2,3,2,4,3,3,3,3,3,3.2
163,1,1,5,1,5,IL17EM0,männlich,23,4,5,3,4,3,2,5,5,3,5,5,5,1,3,4,3,2,4.083333333333333,2.6
164,1,1,5,1,1,HI10NE8,weiblich,25,4,3,4,3,3,2,4,6,4,4,5,5,3,5,4,5,5,3.9166666666666665,4.4
165,1,1,5,1,4,AB01UM1,männlich,22,5,6,1,5,6,4,4,7,6,3,2,4,2,4,4,3,3,4.416666666666667,3.2
166,1,1,5,1,4,EN03EN3,männlich,30,5,3,5,5,5,6,6,6,5,6,4,5,2,2,3,3,1,5.083333333333333,2.2
167,1,1,5,1,1,IS21EN1,weiblich,22,2,4,4,4,3,2,3,5,4,3,3,4,5,5,5,5,4,3.4166666666666665,4.8
168,1,1,5,1,5,NN20EN4,weiblich,18,5,3,3,3,1,6,3,6,6,5,6,6,5,4,5,4,4,4.416666666666667,4.4
169,1,1,5,1,3,AN06RF8,männlich,25,3,4,4,3,3,1,5,2,5,3,3,6,2,4,4,3,1,3.5,2.8
170,1,1,5,1,4,AN14ND3,männlich,20,4,7,3,5,6,5,6,7,6,5,2,5,2,5,5,4,5,5.083333333333333,4.2
171,1,1,5,1,4,EL28EN2,weiblich,21,6,6,4,5,2,5,7,7,6,6,6,6,5,5,5,5,5,5.5,5
172,1,1,5,1,1,AR25AL9,weiblich,24,2,5,4,5,4,5,5,5,4,5,3,4,5,4,4,4,4,4.25,4.2
173,1,1,5,1,1,ER12nd2,männlich,21,7,6,4,1,2,7,6,7,7,7,7,7,2,2,2,2,2,5.666666666666667,2
174,1,1,5,1,3,IG21AU2,männlich,21,1,2,3,3,2,1,4,4,1,1,1,1,3,3,4,3,3,2,3.2
176,1,1,5,1,3,IN29CH9,weiblich,24,4,7,5,4,1,6,7,7,5,6,6,6,1,3,2,2,1,5.333333333333333,1.8
177,1,1,5,1,5,au12ck0,weiblich,23,1,4,2,4,3,2,6,5,2,2,5,3,2,2,2,3,3,3.25,2.4
178,1,1,5,1,5,ER08EN9,männlich,23,2,4,6,5,3,3,7,7,5,6,3,6,1,3,2,3,1,4.75,2
179,1,1,5,1,3,EN01UN4,weiblich,29,5,6,4,3,2,5,6,5,4,3,4,3,2,1,1,1,1,4.166666666666667,1.2
180,1,1,5,1,3,EN22LM5,weiblich,18,5,6,4,6,5,5,5,7,6,5,2,7,4,4,2,1,1,5.25,2.4
182,1,1,5,1,4,AR06EN9,weiblich,24,7,6,6,7,1,7,6,7,6,7,5,7,5,5,5,5,5,6,5
185,1,1,5,1,5,ER18TE4,weiblich,29,5,6,3,3,1,6,4,7,6,6,4,7,5,6,2,5,4,4.833333333333333,4.4
187,1,1,5,1,3,IC11RG6,weiblich,27,1,6,5,2,1,1,3,5,5,4,1,6,2,1,6,1,1,3.3333333333333335,2.2
188,1,1,5,1,3,EA16EN1,weiblich,22,3,3,2,6,4,2,5,3,4,3,4,4,3,4,4,4,4,3.5833333333333335,3.8
189,1,1,5,1,5,EN18LN6,männlich,27,5,7,4,6,1,5,6,7,3,4,3,5,1,1,6,1,1,4.666666666666667,2
190,1,1,5,1,2,AD29EL2,weiblich,22,2,6,2,1,5,4,4,3,4,6,4,6,3,3,3,3,3,3.9166666666666665,3
191,1,1,5,1,4,ER17NE1,weiblich,22,4,2,4,6,3,2,6,4,4,2,4,5,2,4,2,2,2,3.8333333333333335,2.4
192,1,1,5,1,2,LA15UM3,männlich,25,5,5,5,5,3,6,6,7,6,5,4,6,3,4,3,5,3,5.25,3.6
193,1,1,5,1,4,en03rg1,weiblich,22,2,5,1,5,5,2,4,5,4,5,2,5,5,1,1,3,5,3.75,3
195,1,1,5,1,5,AB20ND1,weiblich,22,2,4,2,1,2,1,3,1,4,6,4,6,1,2,3,3,3,3,2.4
197,1,1,5,1,4,EG05UM5,weiblich,18,5,3,6,4,2,5,6,5,5,3,5,5,4,5,5,5,4,4.5,4.6
198,1,1,5,1,3,TE24UM7,weiblich,26,7,6,7,7,5,6,6,6,7,6,5,7,3,5,5,5,4,6.25,4.4
199,1,1,5,1,1,NN26TZ4,weiblich,39,4,2,1,4,2,2,4,4,4,4,3,4,3,4,4,4,3,3.1666666666666665,3.6
200,1,1,5,1,2,AT05EN2,weiblich,21,5,5,5,5,3,4,6,7,5,6,5,6,1,1,1,2,2,5.166666666666667,1.4
201,1,1,5,1,5,ar02um2,männlich,31,4,5,4,4,3,6,3,7,5,5,6,6,4,4,5,4,3,4.833333333333333,4
202,1,1,5,1,5,ON31EN0,weiblich,23,4,3,3,3,4,4,4,6,4,5,4,2,3,3,3,3,3,3.8333333333333335,3
203,1,1,5,1,3,En28ne2,männlich,22,4,4,3,4,3,2,5,4,4,5,4,5,3,3,3,3,3,3.9166666666666665,3
206,1,1,5,1,3,RI20NA7,weiblich,26,7,7,7,7,6,7,7,7,7,7,5,7,4,5,5,4,4,6.75,4.4
207,1,1,5,1,1,AU23AS3,männlich,30,6,6,3,3,5,5,7,7,4,6,6,6,3,5,2,5,3,5.333333333333333,3.6
208,1,1,5,1,5,IC23IT4,weiblich,30,5,6,5,5,3,5,7,7,6,5,5,5,3,4,5,4,4,5.333333333333333,4
209,1,1,5,1,3,UL22MM4,weiblich,19,3,4,3,3,2,3,4,3,5,3,2,4,4,2,5,2,2,3.25,3
210,1,1,5,1,3,LA29RG0,weiblich,23,4,6,3,2,2,5,2,6,5,5,4,4,1,3,5,3,2,4,2.8
211,1,1,5,1,2,AT06NE5,weiblich,18,2,3,7,2,2,6,2,6,2,3,2,6,5,4,5,5,5,3.5833333333333335,4.8
212,1,1,5,1,2,HO12NN8,männlich,25,4,4,2,5,3,4,4,6,6,3,4,3,4,4,4,4,3,4,3.8
213,1,1,5,1,5,AU12EN1,weiblich,22,5,3,5,5,2,1,4,6,5,4,5,5,2,4,4,5,2,4.166666666666667,3.4
214,1,1,5,1,4,OU27RF8,weiblich,25,4,6,5,5,2,6,5,7,3,2,4,3,1,1,3,1,1,4.333333333333333,1.4
215,1,1,5,1,2,YD13AK9,weiblich,27,4,5,5,4,2,3,5,7,5,5,5,4,2,1,2,3,1,4.5,1.8
216,1,1,5,1,1,OH22AN0,männlich,23,1,4,3,2,4,5,1,3,1,2,1,1,2,3,1,4,5,2.3333333333333335,3
217,1,1,5,1,1,IM24MS2,männlich,21,5,6,2,5,6,3,6,6,5,5,2,6,2,2,3,3,1,4.75,2.2
218,1,1,5,1,3,LA16EN4,weiblich,30,4,4,5,5,3,3,5,6,4,4,3,5,4,4,4,2,3,4.25,3.4
219,1,1,5,1,4,AN08RL9,männlich,24,4,6,5,5,1,1,6,5,5,4,4,4,3,1,1,2,2,4.166666666666667,1.8
222,1,1,5,1,3,OU19AT3,weiblich,20,6,7,2,6,2,6,6,7,6,7,6,7,1,2,5,2,2,5.666666666666667,2.4
223,1,1,5,1,1,LI11HR9,weiblich,34,2,2,3,3,1,5,3,5,3,2,2,2,5,2,2,2,3,2.75,2.8
224,1,1,5,1,1,ep15ad6,männlich,27,4,5,4,6,2,4,4,3,5,6,5,3,3,3,3,3,1,4.25,2.6
226,1,1,5,1,5,AU16RG1,männlich,22,5,1,2,6,5,3,3,5,5,4,5,3,1,3,2,3,2,3.9166666666666665,2.2
227,1,1,5,1,2,AR15RG6,weiblich,27,4,3,5,3,3,4,3,5,5,5,3,5,1,2,5,2,1,4,2.2
228,1,1,5,1,2,ai02um7,männlich,56,6,4,1,5,2,2,6,6,6,4,6,5,2,3,2,2,2,4.416666666666667,2.2
229,1,1,5,1,3,IN16UM8,weiblich,25,7,7,7,7,1,7,7,7,7,7,5,7,3,4,3,4,3,6.333333333333333,3.4
230,1,1,5,1,3,YA26RN9,weiblich,25,3,4,5,5,3,2,5,5,4,3,2,3,2,4,2,3,3,3.6666666666666665,2.8
231,1,1,5,1,5,EN01LT9,weiblich,24,4,1,3,1,1,7,2,7,6,5,5,4,4,5,5,5,6,3.8333333333333335,5
232,1,1,5,1,2,IM12RL5,weiblich,28,3,5,3,3,2,1,4,7,6,5,2,4,3,4,4,4,3,3.75,3.6
234,1,1,5,1,1,RV23RG5,männlich,28,2,1,1,1,1,1,3,7,2,2,2,4,2,3,2,3,2,2.25,2.4
235,1,1,5,1,4,AR19EN5,weiblich,18,3,5,5,3,2,5,6,7,6,6,5,5,3,4,4,4,4,4.833333333333333,3.8
